run_id,claim_name,negative_source,adapter_name,adapter_label,selection_role,metric_source,metric,stage3d,baseline_r004,delta_vs_r004
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,BFCL_category_accuracy.parallel,0.85,0.6166666666666667,0.23333333333333328
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,BFCL_category_accuracy.relevance,0.05,0.13333333333333333,-0.08333333333333333
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,BFCL_category_accuracy.simple,0.9333333333333333,0.95,-0.016666666666666607
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,BFCL_core_accuracy,0.6966666666666667,0.6666666666666666,0.030000000000000027
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,When2Call_behavior_accuracy,0.5933333333333334,0.5733333333333334,0.020000000000000018
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,When2Call_f1_by_class.direct_answer,0.0,0.0,0.0
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,When2Call_f1_by_class.follow_up,0.5,0.4782608695652174,0.021739130434782594
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,When2Call_f1_by_class.tool_call,0.6813186813186815,0.6886446886446885,-0.007326007326007078
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,When2Call_f1_by_class.unable,0.7657142857142857,0.7570621468926553,0.008652138821630406
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,When2Call_macro_F1,0.4867582417582418,0.4809919262756403,0.005766315482601481
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,behavior_accuracy_on_sft_dev,0.776,0.81,-0.03400000000000003
s3d001,noised_gold_unfiltered_3k_control,noised_gold,dpo_best_adapter,final,loss_best_final,primary,nontrivial_error_rate,0.3333333333333333,0.36,-0.026666666666666672
