run_id,checkpoint,benchmark,task,category,prompt_id,prompt_hash,expected_behavior,observed_behavior,exact_match,strict_parse_success,permissive_parse_success,schema_valid,nontrivial_error,primary_error,call_count,expected_call_count,generated_sha256,generation_input_tokens,generation_output_tokens
r028,final,sft_dev,sft_dev,xlam,xlam:24010,680f48f8b777c2ab6f61f711524c83be8a31e7400303e80afa117f9840ec6346,tool_call,tool_call,True,True,True,True,False,,1,1,1e65a1d7b6aee41f4061188a3b4512ce07670e5abaa61bd7f5c440f9258d9120,395,128
r028,final,sft_dev,sft_dev,xlam,xlam:17229,d0e8c26c237314e897c5448b5363823980c1f4fc0d8a94b228f75666ba38db7e,tool_call,tool_call,True,True,True,True,False,,1,1,ca9abd67b94012fd40a15e39619afd5ec60e8b2b4e2c72ae98dad9f5bddeb145,258,107
r028,final,sft_dev,sft_dev,xlam,xlam:4633,33bfdb80f4fbcfc94fd5da861306045e50485a3c56f345ceed7c0cae64c6bca7,tool_call,tool_call,True,True,True,True,False,,2,2,016e2c134f03817bfdbfa06272bd6a239dc74862826bc6b603d9f72084423cdc,1019,107
r028,final,sft_dev,sft_dev,xlam,xlam:2025,56a1ec716d1c38c6cfbef1200f9c347d1779821a6f431940708421673337b375,tool_call,tool_call,True,True,True,True,False,,1,1,f100775a1cff46aa2a09b0fde58c35608599f1af65bafbd1f44802d81ddab445,390,107
r028,final,sft_dev,sft_dev,xlam,xlam:36918,7d8f49d6e837a83fbc12d17315c63eee5a1c8e6c84de516a2f3f4d95fb01d1b7,tool_call,tool_call,False,False,True,True,True,wrong_number_of_calls,1,2,0a1e7b385456e9655ab757706929fde75c1ee5a2d6c9b2e31fc701cdfcda176d,206,107
r028,final,sft_dev,sft_dev,xlam,xlam:39458,69e1b393cf3ddc283c5d131458011687a47cd07b7484f483d7226e4afde993c1,tool_call,tool_call,True,True,True,True,False,,1,1,99ac436f4d27a3783727a3645367db069acc29b3477ec112462fcb6a689efda0,124,107
r028,final,sft_dev,sft_dev,xlam,xlam:15299,00bc7a24b140a3779cd566714dfb94c11f0d9a836a08166fc23df4be021116ff,tool_call,tool_call,True,True,True,True,False,,2,2,5811f2445fd8e525ed04fe8857f9ec29bdd0af3e2d7bf26049a1b1822b78c91a,335,107
r028,final,sft_dev,sft_dev,xlam,xlam:33746,2d43606beaffc3ba44b8a391c3f0bafba0f6a8d07eaf9420f8890a8bb1a10d86,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,1,1,9652e366a30360a4fb0aaaea1fed2cf34360efc135912f44e198caae3c4c9c23,232,107
r028,final,sft_dev,sft_dev,xlam,xlam:52169,ca2cc1a29d5b8672005ed78772a7e2d82b6cf758ea8e14aa7cd93d3c2b550048,tool_call,tool_call,True,True,True,True,False,,1,1,85167c82916f3eafccbc353c24aa6fc987d551cf4a75d5ee68a35505f4695a00,175,107
r028,final,sft_dev,sft_dev,xlam,xlam:52325,b379025783e907833db7b39a4ecbed285f659f635e75f1571aaba7f91557156c,tool_call,tool_call,True,True,True,True,False,,2,2,e6a24ed36a41fec3b7f9b3ae8eec6ec37c718950c3fcffd5b22c16da1785c812,459,107
r028,final,sft_dev,sft_dev,xlam,xlam:41276,f468f4d374daf3143267689071d08b344713ebd075923cb3afb140da721aabe6,tool_call,tool_call,True,True,True,True,False,,2,2,b555a1896e5239d4150a9cfdf9769c9ecfd99a31325fd841c2745abe654ce9c2,609,107
r028,final,sft_dev,sft_dev,xlam,xlam:39878,6f021e593c03038a50c9c564074b160c7f42c12eb9f6fe4f7765078b99d1996e,tool_call,tool_call,True,True,True,True,False,,3,3,7d89bfcbcdfe93598cf8028047d01f81faa45a2f0ea09d02ab56d823eb0f91e0,118,107
r028,final,sft_dev,sft_dev,xlam,xlam:37110,e18017016debe6f5d9482c838a3b7d732ddd794f6c39b07e867afc529a5f386e,tool_call,tool_call,True,True,True,True,False,,2,2,802c8a7b447dde63b06d4f9087a41cd15a63b05dfd350a85fefb1604d62285e7,218,107
r028,final,sft_dev,sft_dev,xlam,xlam:13452,df2ad199638e80e057115023afd7f972ef69371e995bfdaa15acff2505e9b61e,tool_call,tool_call,True,True,True,True,False,,1,1,5033dfc50e3568cc5f1802353458b3ef2894d815c8ca10f2d7b1322f74ab9a43,372,107
r028,final,sft_dev,sft_dev,xlam,xlam:37652,4e014a512d0d9d786b06401370e9b6b97c3563eea2c888873c0314d835cf15fe,tool_call,tool_call,True,True,True,True,False,,2,2,9bcce6f666e78a2c652bef60a6bf6d9cc7c91b831ac1fe282c85a4143c1ba76e,101,107
r028,final,sft_dev,sft_dev,xlam,xlam:2692,1e5aefbec66a809f2546b44692fe7a8c302b2e9646a9e855f25c990245153074,tool_call,tool_call,True,True,True,True,False,,2,2,3714e09d90ebbc71b865248c206606d22933e89edd9573cfbd177db7de062293,485,107
r028,final,sft_dev,sft_dev,xlam,xlam:6541,7ac47f361bc90b36d6407bd726859f71a2f559125bae07b068697a34350abdfe,tool_call,tool_call,True,True,True,True,False,,2,2,067088343c911e120e23c8af3fb6dda186a7830b69e6dcb13ce634d232a4f38a,227,107
r028,final,sft_dev,sft_dev,xlam,xlam:25625,d788e8d42a45e76d2a746cb83509395e6e6951bcfd59233ded54186467b4a819,tool_call,tool_call,True,True,True,True,False,,1,1,127beecf40db62066972381bc055d957cb2cfd25077e53573e5f51bc20108eb4,347,116
r028,final,sft_dev,sft_dev,xlam,xlam:12236,c1bb7bc0a88025a75b9234db8590e8e691d3d1c688f0e746defd7ff3fb8edbe8,tool_call,tool_call,True,True,True,True,False,,1,1,be200d3770ceff27aee0bd7e0d2793885275f795fa8932bf189c753f6863d5af,99,116
r028,final,sft_dev,sft_dev,xlam,xlam:34294,798092d37d5c88d14315c50a97194f009f3d138a9680087a3467444d5a981081,tool_call,tool_call,True,True,True,True,False,,1,1,64f41df882cdb27842e864a94198ba838e5944cda279500f1457cb2015aa94e8,471,116
r028,final,sft_dev,sft_dev,xlam,xlam:44190,b85c5a6b9666b659e5953e289636222ebec6e63e92f75c14f694f32c58ea19fb,tool_call,tool_call,True,True,True,True,False,,4,4,560254c24a6896e47fcb2134cdbcf7ca4c54cba1a8484f164b9868ca3376e32a,470,116
r028,final,sft_dev,sft_dev,xlam,xlam:38525,988a09856a81191607321e662c4540852f2ede922ecab44a65c3939fcbe86803,tool_call,tool_call,False,True,True,True,True,wrong_function_selection,1,1,78f3b234ec75ddcfa6865ce32a2a40b6b3c6ede50be40c0357cca1ffed806296,324,116
r028,final,sft_dev,sft_dev,xlam,xlam:42101,f15e20169e9992bee385e35467784c0313934acd63177d48bc1ef722c92d9669,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,a894ced834cb434d1c06fb8b74441a9eba8fb6bf4617cdf73b2ce138546521c8,222,116
r028,final,sft_dev,sft_dev,xlam,xlam:49476,6097961ef5914d5e11a490fa36e6717b8f6dd5ea0f840559760c7acb567dd0f1,tool_call,tool_call,True,True,True,True,False,,1,1,b98b55a87c29a8ee5c691681be1b2ee0a6a9bcf68fe1b92e84cf963cfff8c9ea,477,116
r028,final,sft_dev,sft_dev,xlam,xlam:21453,201d0fcb7fd5f5806bfd970e2203a079d79e53d4c7c0e5609589155910c7d588,tool_call,tool_call,True,True,True,True,False,,1,1,d8075e97a89a29aa5756009d2ce1b6cd669574bd316f257ee316a1d671fd8c1e,303,116
r028,final,sft_dev,sft_dev,xlam,xlam:11862,f0f184df91b52678282e12344945d745a832a6bbfea69661c5f745283771f7e1,tool_call,tool_call,True,True,True,True,False,,1,1,80fc85dfa40e1b9d076459a304cb58d678e3b7b8b92ebe53918c0ef573c7f0b0,320,116
r028,final,sft_dev,sft_dev,xlam,xlam:41669,7e4fc77ea6367c726df6cb35dd80b42d502cd47aaf072acf604421b8a7397784,tool_call,tool_call,True,True,True,True,False,,2,2,c04b0726398dbe58866bde03ccfacc5d6c794869b13add5d52ce9e6cede7de5f,237,116
r028,final,sft_dev,sft_dev,xlam,xlam:25122,f988ae90eab612011da87faa1660e05a6375a32ff5c682fc37f4361308dff21d,tool_call,tool_call,True,True,True,True,False,,1,1,b54f1b6aef7c6d8ee0ae44cc37f79c7b6a4f88c354edc8babb6d08e5fd357de9,74,116
r028,final,sft_dev,sft_dev,xlam,xlam:52441,21c0dcd867e80d4f298243aae87c67134cdbb6906e8d68bca6967b1b31fbe18f,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,1299f4fe50e6160a7d7bc06d2c48d9999d38acad5b6a068040f5beb4057881cd,462,116
r028,final,sft_dev,sft_dev,xlam,xlam:13317,041be79f7efce391d83bb112c9c15fbd73c02bb93e7644e1517b191c7fe9be37,tool_call,tool_call,True,True,True,True,False,,1,1,c3c8e6b469bd11bce11903da51672cfbd4ad19d2c923ac84a52f0c44d79eb268,1287,116
r028,final,sft_dev,sft_dev,xlam,xlam:51314,eb1a2393d6ad67c293a3421240119352e1538105088b00eac47c270efc4f2051,tool_call,tool_call,True,True,True,True,False,,2,2,f02689950ef29ba5f71e8a8fe64c618ddbb2c49f63b0bee3a959527d201e94d9,356,116
r028,final,sft_dev,sft_dev,xlam,xlam:2335,766ca40fd2a452751eb36e02d336bf1db0144c2abfd33de791edcdd63a54d5ac,tool_call,tool_call,True,True,True,True,False,,1,1,5d83397227d042d4f46e839d3f83f49bb2a94b28530f4c76dfc6396c7d904f4e,470,116
r028,final,sft_dev,sft_dev,xlam,xlam:4655,11b739c26e8af53e93d8ae60e9381e1f8816aafa3d62e3cd9ab12236e22efb69,tool_call,tool_call,True,True,True,True,False,,1,1,43854adb998d3202a18b3d51b2734c761ec9727f8e18b2d1b6863872fb27bbcf,396,116
r028,final,sft_dev,sft_dev,xlam,xlam:41443,51dd093ba620deec6ed6603c3badc2d8a407a47028d9ce88a22a520a64d7af56,tool_call,tool_call,False,False,True,True,True,wrong_number_of_calls,1,2,609b059f7649cc867be122a03ee943062de5731d039294979514fbbf0c57412c,358,192
r028,final,sft_dev,sft_dev,xlam,xlam:40624,607485cb782fa928c46cdc7dd33f933f2d4dc006da9a73089ee4be927433f54e,tool_call,tool_call,True,True,True,True,False,,3,3,1850b383434343e15a34d9a6ce00dae3549349eeb9a5dba80d005f3408250343,570,192
r028,final,sft_dev,sft_dev,xlam,xlam:32361,e213ad0245dd4c34766192ae72b84db55b0ef26f52cc8c45e855a762e858492d,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,685cf3c3b2c25dc08b97b22ed9fd3f834ded5d8f607b62359cd8fb57854d3f63,214,192
r028,final,sft_dev,sft_dev,xlam,xlam:29167,eaea36de5268b98b47f1bc8c88a7ee2f0c7bbbafb83606864d6f08f6b78734d5,tool_call,tool_call,True,True,True,True,False,,1,1,096aa32d84e3999b2511861299eca5b49d1f771b4d3600ab39952310b0fb7f0b,411,192
r028,final,sft_dev,sft_dev,xlam,xlam:36000,a69506b297aff17cce0546b9da1e0b2444eddebd7f73e8ff645d3f45cea4433f,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,1,1,f80d996d6e6da9964c72fe2920662010e758c8fe7dc6435dd8c07f8d4ccfb3d8,499,192
r028,final,sft_dev,sft_dev,xlam,xlam:5536,bbd4686004c0ead78277d7f5b35039e20373ebf09f6560815977c718e3998a0a,tool_call,tool_call,True,True,True,True,False,,2,2,252afa442cb841cb961a9f2305a3d37c137e0f62a957e61287e960aeb60a19cd,382,192
r028,final,sft_dev,sft_dev,xlam,xlam:46392,0799ca9792769c443fc15aab46af494dbff16e979919217036e85ac0bd98e00e,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,39eea09057e4ef2490c57391696451627c03597cadf449543141af3cb608faf7,479,192
r028,final,sft_dev,sft_dev,xlam,xlam:40764,733f630d5205ce8dd70e8aba61686328c9379e76730c38bcecc16f3ebaeda5e5,tool_call,tool_call,True,True,True,True,False,,1,1,b0f2d05a5c36230297d0fc50d8b377aba4646a3b17e9daaa5b3eae5a35e17da3,469,192
r028,final,sft_dev,sft_dev,xlam,xlam:220,626f5e8c042b148ebee233171412302860c24a8c97143650cc0c4b2fe81ba375,tool_call,tool_call,True,True,True,True,False,,3,3,a2823286d24cbc90d6aef2223122ed3194f499739be537fb3fcb8b25721e7f4b,166,192
r028,final,sft_dev,sft_dev,xlam,xlam:27142,b06cb1a2fc9bf35d01f272aa4e8142e3edb80aff260b88c3de5c668f00b63d2b,tool_call,tool_call,False,False,True,True,True,wrong_number_of_calls,1,4,9b02c57fe01c11f9abf309792db216b96758e6e55b7a47d805fe8fc8f11cd00d,318,192
r028,final,sft_dev,sft_dev,xlam,xlam:42762,c86dac3579ccc3d07c7132ac5e60977c83b8fb9f13b2f8d4a9178202b01a47d0,tool_call,tool_call,True,True,True,True,False,,1,1,05b3b86925aebbbf8a6a2407e7776c751576bab130da4e4b8d87602921286dd1,575,192
r028,final,sft_dev,sft_dev,xlam,xlam:55428,7d045c8864e1a49e1deec7d3d2166c22096f6df5bfa7af61c2473b6afcf8c4a8,tool_call,tool_call,True,True,True,True,False,,2,2,524ea0c311474c577e2752d403deef87598b8765ea0480a3fb383157f7bd1ce7,343,192
r028,final,sft_dev,sft_dev,xlam,xlam:27692,a6ef6f58d6c926a053064e088158d1879600b4e4ad814e73a3ca814791ed60d6,tool_call,tool_call,True,True,True,True,False,,4,4,10b4d7f6c0916ff80bf9160b00da469cf1714364028fe85ad16b60f63a7c0f85,91,192
r028,final,sft_dev,sft_dev,xlam,xlam:48361,a4e6efcc47483c360203a17cadedd5d318d23b3eab5ad426ed08136acb7dac26,tool_call,tool_call,True,True,True,True,False,,2,2,0f6ab51aa1a63695a6179e80e96429a2e42d002f444c9b5619f5190318a82e54,130,192
