comparison,a_run,b_run,a_adapter,b_adapter,metric,status,point_delta,ci95_low,ci95_high,groups,iterations
source_axis_step50,r028,r029,step50,step50,BFCL_core_accuracy,complete,0.033333333333333326,0.015337423312883458,0.05666666666666664,1100,1000
source_axis_step50,r028,r029,step50,step50,When2Call_behavior_accuracy,complete,-0.06666666666666665,-0.10752688172043012,-0.030201342281879207,1100,1000
source_axis_step50,r028,r029,step50,step50,When2Call_macro_F1,complete,-0.05310632480624111,-0.0884699042263416,-0.023391204562596135,1100,1000
source_axis_step50,r028,r029,step50,step50,strict_parse_success,complete,0.0,0.0,0.0,1100,1000
source_axis_step50,r028,r029,step50,step50,tool_call_accuracy_on_sft_dev,complete,0.005698005698005715,0.0,0.014880952380952439,1100,1000
source_axis_step50,r028,r029,step50,step50,behavior_accuracy_on_sft_dev,complete,0.0040000000000000036,-0.0039525691699605625,0.012958963282937441,1100,1000
source_axis_step50,r028,r029,step50,step50,nontrivial_error_rate,complete,0.041666666666666685,0.02173913043478265,0.06206896551724134,1100,1000
source_axis_step50,s3d001,s3d002,step50,step50,BFCL_core_accuracy,complete,0.026666666666666616,0.01016949152542379,0.04861111111111116,1100,1000
source_axis_step50,s3d001,s3d002,step50,step50,When2Call_behavior_accuracy,complete,-0.050000000000000044,-0.08695652173913049,-0.013986013986013957,1100,1000
source_axis_step50,s3d001,s3d002,step50,step50,When2Call_macro_F1,complete,-0.042066735990913595,-0.07479866147771586,-0.012340294401863128,1100,1000
source_axis_step50,s3d001,s3d002,step50,step50,strict_parse_success,complete,0.0,0.0,0.0,1100,1000
source_axis_step50,s3d001,s3d002,step50,step50,tool_call_accuracy_on_sft_dev,complete,0.01139601139601143,0.0027173913043478937,0.02359882005899705,1100,1000
source_axis_step50,s3d001,s3d002,step50,step50,behavior_accuracy_on_sft_dev,complete,0.006000000000000005,-0.004016064257028051,0.0165631469979296,1100,1000
source_axis_step50,s3d001,s3d002,step50,step50,nontrivial_error_rate,complete,0.02999999999999997,0.010033444816053505,0.04865771812080538,1100,1000
